2026-02-22 10:01:08,696 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-22 10:01:09,692 | INFO | slixmpp.features.feature_bind.bind | JID set to: gridcoordinator@xmpp.jp/69659812981381598171617268483
2026-02-22 10:01:09,693 | INFO | spade.Agent | Agent gridcoordinator@xmpp.jp connected and authenticated.
2026-02-22 10:01:09,693 | INFO | GridCoordinator | GridCoordinatorAgent starting...
2026-02-22 10:01:09,740 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:09,740 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:12,225 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-22 10:01:13,227 | INFO | slixmpp.features.feature_bind.bind | JID set to: powerplant@xmpp.jp/89932291066829496821617270339
2026-02-22 10:01:13,228 | INFO | spade.Agent | Agent powerplant@xmpp.jp connected and authenticated.
2026-02-22 10:01:15,743 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-22 10:01:16,757 | INFO | slixmpp.features.feature_bind.bind | JID set to: storageagent@xmpp.jp/97630876970507860743091047746
2026-02-22 10:01:16,759 | INFO | spade.Agent | Agent storageagent@xmpp.jp connected and authenticated.
2026-02-22 10:01:19,267 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-22 10:01:19,741 | INFO | GridCoordinator | No event received.
2026-02-22 10:01:19,741 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:01:19,741 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:19,741 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:20,268 | INFO | slixmpp.features.feature_bind.bind | JID set to: consumeragent@xmpp.jp/170357885827150389433091052546
2026-02-22 10:01:20,269 | INFO | spade.Agent | Agent consumeragent@xmpp.jp connected and authenticated.
2026-02-22 10:01:22,794 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-22 10:01:23,789 | INFO | slixmpp.features.feature_bind.bind | JID set to: demandagent@xmpp.jp/173811483179590074153091056034
2026-02-22 10:01:23,790 | INFO | spade.Agent | Agent demandagent@xmpp.jp connected and authenticated.
2026-02-22 10:01:23,790 | INFO | DemandAgent | DemandAgent starting...
2026-02-22 10:01:23,791 | INFO | root | All agents started.
2026-02-22 10:01:28,793 | INFO | DemandAgent | Sending demand:5 (MINOR)
2026-02-22 10:01:28,793 | INFO | GridCoordinator | Demand imbalance received: 5
2026-02-22 10:01:28,793 | INFO | spade.behaviour | FSM transiting from MONITORING to EVALUATING.
2026-02-22 10:01:28,793 | INFO | spade.behaviour | FSM running state EVALUATING
2026-02-22 10:01:28,793 | INFO | GridCoordinator | State: EVALUATING
2026-02-22 10:01:28,794 | INFO | spade.behaviour | FSM transiting from EVALUATING to MINOR_BALANCING.
2026-02-22 10:01:28,794 | INFO | spade.behaviour | FSM running state MINOR_BALANCING
2026-02-22 10:01:28,794 | INFO | GridCoordinator | State: MINOR BALANCING
2026-02-22 10:01:28,794 | INFO | GridCoordinator | Command sent to PowerPlant.
2026-02-22 10:01:28,794 | INFO | spade.behaviour | FSM transiting from MINOR_BALANCING to MONITORING.
2026-02-22 10:01:28,794 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:28,794 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:28,795 | INFO | GridCoordinator | Acknowledgement received from PowerPlant.
2026-02-22 10:01:28,795 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:01:28,795 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:28,795 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:36,798 | INFO | DemandAgent | Sending demand:15 (MODERATE)
2026-02-22 10:01:36,799 | INFO | GridCoordinator | Demand imbalance received: 15
2026-02-22 10:01:36,799 | INFO | spade.behaviour | FSM transiting from MONITORING to EVALUATING.
2026-02-22 10:01:36,799 | INFO | spade.behaviour | FSM running state EVALUATING
2026-02-22 10:01:36,799 | INFO | GridCoordinator | State: EVALUATING
2026-02-22 10:01:36,799 | INFO | spade.behaviour | FSM transiting from EVALUATING to MODERATE_BALANCING.
2026-02-22 10:01:36,799 | INFO | spade.behaviour | FSM running state MODERATE_BALANCING
2026-02-22 10:01:36,799 | INFO | GridCoordinator | State: MODERATE BALANCING
2026-02-22 10:01:36,799 | INFO | GridCoordinator | Commands sent to PowerPlant and Storage.
2026-02-22 10:01:36,799 | INFO | spade.behaviour | FSM transiting from MODERATE_BALANCING to MONITORING.
2026-02-22 10:01:36,800 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:36,800 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:36,800 | INFO | GridCoordinator | Acknowledgement received from PowerPlant.
2026-02-22 10:01:36,800 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:01:36,800 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:36,800 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:36,800 | INFO | GridCoordinator | Acknowledgement received from StorageAgent.
2026-02-22 10:01:36,800 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:01:36,800 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:36,801 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:44,802 | INFO | DemandAgent | Sending demand:30 (SEVERE)
2026-02-22 10:01:44,803 | INFO | GridCoordinator | Demand imbalance received: 30
2026-02-22 10:01:44,803 | INFO | spade.behaviour | FSM transiting from MONITORING to EVALUATING.
2026-02-22 10:01:44,803 | INFO | spade.behaviour | FSM running state EVALUATING
2026-02-22 10:01:44,803 | INFO | GridCoordinator | State: EVALUATING
2026-02-22 10:01:44,803 | INFO | spade.behaviour | FSM transiting from EVALUATING to SEVERE_BALANCING.
2026-02-22 10:01:44,803 | INFO | spade.behaviour | FSM running state SEVERE_BALANCING
2026-02-22 10:01:44,803 | INFO | GridCoordinator | State: SEVERE BALANCING
2026-02-22 10:01:44,803 | INFO | GridCoordinator | Emergency commands sent to PowerPlant, Storage, and Consumer.
2026-02-22 10:01:44,804 | INFO | spade.behaviour | FSM transiting from SEVERE_BALANCING to MONITORING.
2026-02-22 10:01:44,804 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:44,804 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:44,804 | INFO | GridCoordinator | Acknowledgement received from PowerPlant.
2026-02-22 10:01:44,805 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:01:44,805 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:44,805 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:44,805 | INFO | GridCoordinator | Acknowledgement received from StorageAgent.
2026-02-22 10:01:44,805 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:01:44,805 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:44,805 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:44,805 | INFO | GridCoordinator | Acknowledgement received from ConsumerAgent.
2026-02-22 10:01:44,805 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:01:44,805 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:44,805 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:01:52,811 | WARNING | DemandAgent | Sending failure:powerplant
2026-02-22 10:01:52,812 | INFO | spade.behaviour | Killing behavior OneShotBehaviour/SendDemandBehaviour with exit code: None
2026-02-22 10:01:52,812 | WARNING | GridCoordinator | Failure detected! Activating emergency.
2026-02-22 10:01:52,812 | INFO | spade.behaviour | FSM transiting from MONITORING to EMERGENCY.
2026-02-22 10:01:52,812 | INFO | spade.behaviour | FSM running state EMERGENCY
2026-02-22 10:01:52,812 | INFO | GridCoordinator | State: EMERGENCY - sending emergency signals
2026-02-22 10:01:52,812 | WARNING | GridCoordinator | Emergency protocol activated.
2026-02-22 10:01:52,813 | INFO | spade.behaviour | FSM transiting from EMERGENCY to RECOVERY.
2026-02-22 10:01:52,813 | INFO | spade.behaviour | FSM running state RECOVERY
2026-02-22 10:01:52,813 | INFO | GridCoordinator | State: RECOVERY - stabilizing system
2026-02-22 10:01:52,813 | INFO | GridCoordinator | System stabilized. Returning to monitoring.
2026-02-22 10:01:52,813 | INFO | spade.behaviour | FSM transiting from RECOVERY to MONITORING.
2026-02-22 10:01:52,813 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:01:52,813 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:02:02,815 | INFO | GridCoordinator | No event received.
2026-02-22 10:02:02,815 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:02:02,816 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:02:02,816 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:02:12,817 | INFO | GridCoordinator | No event received.
2026-02-22 10:02:12,818 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:02:12,818 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:02:12,818 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:02:22,826 | INFO | GridCoordinator | No event received.
2026-02-22 10:02:22,826 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:02:22,826 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:02:22,826 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:02:32,834 | INFO | GridCoordinator | No event received.
2026-02-22 10:02:32,834 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-22 10:02:32,834 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:02:32,834 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-22 10:02:35,162 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-22 10:02:35,162 | INFO | GridCoordinator | State: MONITORING - waiting for event
